"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""ФОИВ""";
"=""Категория поставщика""";"=""РОИВ""";
"=""Поставщик сервисов""";"=""""";
"=""Сервис""";"=""""";
"=""Выберите период формирования отчета с""";"=""06.04.2015""";
"=""по""";"=""08.04.2015""";
"=""Время генерации отчета""";"=""13.04.2015 14:39:16""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"Заключение органа местного самоуправления поселения или городского округа, подтверждающего, что создаваемый или созданный объект недвижимого имущества расположен в пределах границ земельного участка, предназначенного для ведения личного подсобного хозяйства";"=""SID0001011""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""548""";"=""548""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""8""";"=""8""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""8""";"=""8""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""2""";"=""2""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"=""Документ, подтверждающий установленное разрешенное использование земельного участка""";"=""SID0001009""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""230""";"=""230""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"Заключение органа местного самоуправления поселения или городского округа, подтверждающего, что создаваемый или созданный объект недвижимого имущества расположен в пределах границ земельного участка, предназначенного для ведения личного подсобного хозяйства";"=""SID0001011""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""262""";"=""262""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""2""";"=""2""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""2340""";"=""2340""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"=""Заключение о привлечении и об использовании иностранных работников""";"=""SID0001022""";"=""ФОИВ""";"=""Федеральная миграционная служба России (ФМС)""";"=""525145814911240445633593""";"=""Федеральный уровень""";"=""2""";"=""2""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"=""Заключение о привлечении и об использовании иностранных работников""";"=""SID0001022""";"=""ФОИВ""";"=""Федеральная миграционная служба России (ФМС)""";"=""525145814911240445633593""";"=""Федеральный уровень""";"=""10""";"=""10""";"=""0""";
"=""Белгородская область""";"=""РОИВ""";"=""Администрации Губернатора Белгородской области""";"=""Согласование маршрута""";"=""SID0001027""";"=""ФОИВ""";"=""Федеральная служба по надзору в сфере транспорта (Ространснадзор)""";"=""145183427552252931386885""";"=""Федеральный уровень""";"=""12932""";"=""12932""";"=""0""";
