"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""ФОИВ""";
"=""Категория поставщика""";"=""РОИВ""";
"=""Выберите период формирования отчета с""";"=""04.06.2015""";
"=""по""";"=""04.06.2015""";
"=""Время генерации отчета""";"=""20.07.2015 13:13:42""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Алтайский край""";"=""РОИВ""";"=""Краевое государственное бюджетное учреждение Оператор электронного правительства Алтайского края""";"=""""";"=""SID0004061""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""2041""";"=""2041""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Краевое государственное бюджетное учреждение Оператор электронного правительства Алтайского края""";"=""""";"=""SID0004062""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""2""";"=""2""";"=""0""";
"=""Алтайский край""";"=""РОИВ""";"=""Краевое государственное бюджетное учреждение Оператор электронного правительства Алтайского края""";"=""""";"=""SID0004063""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""532""";"=""532""";"=""0""";
"=""Архангельская область""";"=""РОИВ""";"=""Администрация Губернатора Архангельской области и Правительства Архангельской области""";"=""Заявка на согласование маршрута транспортного средства осуществляющего перевозки крупногабаритных и(или) тяжеловесных грузов""";"=""SID0001024""";"=""ФОИВ""";"=""Федеральное дорожное агентство Министерства транспорта Российской Федерации""";"=""2408508426552071581318189830929514498""";"=""Федеральный уровень""";"=""26""";"=""26""";"=""0""";
"=""Архангельская область""";"=""РОИВ""";"=""Администрация Губернатора Архангельской области и Правительства Архангельской области.""";"=""Сервис НКО Моби.Деньги в роли Поставщика платежных средств""";"=""SID0004106""";"=""ФОИВ""";"=""Федеральное дорожное агентство Министерства транспорта Российской Федерации""";"=""2408508426552071581318189830929514498""";"=""Федеральный уровень""";"=""25""";"=""25""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Государственное автономное научное учреждение Астраханской области Институт развития образовательных технологий""";"=""""";"=""SID0004479""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""638""";"=""638""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Государственное автономное научное учреждение Астраханской области Институт развития образовательных технологий""";"=""""";"=""SID0004485""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""86""";"=""86""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Государственное автономное научное учреждение Астраханской области Институт развития образовательных технологий""";"=""""";"=""SID0004486""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""509""";"=""509""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Государственное автономное научное учреждение Астраханской области Институт развития образовательных технологий""";"=""""";"=""SID0004489""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""36""";"=""36""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Государственное автономное научное учреждение Астраханской области Институт развития образовательных технологий""";"=""""";"=""SID0004491""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""9""";"=""9""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Государственное автономное научное учреждение Астраханской области Институт развития образовательных технологий""";"=""""";"=""SID0004492""";"=""ФОИВ""";"=""Министерство связи и массовых коммуникаций (Минкомсвязь)""";"=""427630227582249909378869""";"=""Федеральный уровень""";"=""74""";"=""74""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство социального развития и труда Астраханской области""";"=""Сервис согласования маршрута транспортного средства, осуществляющего перевозки крупногабаритных и(или) тяжеловесных грузов""";"=""SID0003847""";"=""ФОИВ""";"=""Единый портал государственных услуг""";"=""183165854564372828937498""";"=""Федеральный уровень""";"=""33""";"=""33""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство социального развития и труда Астраханской области""";"=""""";"=""SID0004413""";"=""ФОИВ""";"=""Фонд социального страхования РФ (ФСС)""";"=""2406836421125588969593853234949652492""";"=""Федеральный уровень""";"=""16""";"=""16""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Выписка из домовой книги""";"=""SID0001002""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""324""";"=""324""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Сведения Из Разрешения На Ввод В Эксплуатацию Объекта Недвижимости""";"=""SID0001003""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""54""";"=""54""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Сведения из разрешения на строительство""";"=""SID0001004""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""102""";"=""102""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Сведения о договорах социального (коммерческого) найма жилого помещения""";"=""SID0001006""";"=""ФОИВ""";"=""Федеральная миграционная служба России (ФМС)""";"=""525145814911240445633593""";"=""Федеральный уровень""";"=""1""";"=""1""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Документ, подтверждающий принадлежность земельного участка к определенной категории земель""";"=""SID0001008""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""94""";"=""94""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Выписка из реестра государственной (муниципальной) собственности""";"=""SID0001010""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""59""";"=""59""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"Заключение органа местного самоуправления поселения или городского округа, подтверждающего, что создаваемый или созданный объект недвижимого имущества расположен в пределах границ земельного участка, предназначенного для ведения личного подсобного хозяйства";"=""SID0001011""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""43""";"=""43""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Сведения из реестра похозяйственных книг""";"=""SID0001016""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""164356927349446854883032""";"=""Федеральный уровень""";"=""15""";"=""15""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"Сервис получения  сведений о нахождении на регистрационном учете в целях поиска подходящей работы  (в качестве безработного); периодах получения пособия по безработице; периодах участия в оплачиваемых общественных работах и периодах переезда по направлению службы занятости в другую местность для трудоустройства";"=""SID0001018""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""380""";"=""380""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"Сведения о неполучении ежемесячного пособия по уходу за ребенком в органах социальной защиты населения  по месту жительства отца, матери ребенка (для одного из родителей в соответствующих случаях), а также для лиц, фактически осуществляющих уход за ребенком вместо матери (отца, обоих родителей) ребенка, в случае, если отец (мать, оба родителя) ребенка не работает (не служит) либо обучается по очной форме обучения в образовательных учреждениях начального профессионального, среднего профессионального и высшего профессионального образования и учреждениях послевузовского профессионального образования";"=""SID0001019""";"=""ФОИВ""";"=""Фонд социального страхования РФ (ФСС)""";"=""2406836421125588969593853234949652492""";"=""Федеральный уровень""";"=""16""";"=""16""";"=""0""";
"=""Астраханская область""";"=""РОИВ""";"=""Министерство экономического развития Астраханской области""";"=""Электронный сервис предоставления сведений о размере выплат пенсионерам, состоящим на учете в отделе пенсионного обслуживания ФСКН """;"=""SID0003565""";"=""ФОИВ""";"=""Федеральная служба судебных приставов (ФССП)""";"=""80919053712519654908155""";"=""Федеральный уровень""";"=""1520""";"=""1520""";"=""0""";
