"=""Статистика использования электронных сервисов""";

"=""Категория потребителя""";"=""РОИВ""";
"=""Категория поставщика""";"=""ФОИВ""";
"=""Поставщик сервисов""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Сервис""";"=""""";
"=""Выберите период формирования отчета с""";"=""05.01.2015""";
"=""по""";"=""11.01.2015""";
"=""Время генерации отчета""";"=""12.01.2015 13:41:53""";

"=""Общая статистика по сервисам""";

"=""Узел""";"=""Категория поставщика""";"=""Поставщик""";"=""Наименование сервиса """;"=""Номер сервиса""";"=""Категория потребителя""";"=""Потребитель""";"=""Сертификат""";"=""Регион""";"=""Количество запросов""";"=""Количество ответов""";"=""Количество ошибок""";
"=""Республика Адыгея""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Республика Дагестан""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Республика Ингушетия""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Республика Карелия""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Республика Марий Эл""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0004181""";"=""РОИВ""";"=""Муниципальное автономное учреждение Усть-Донецкого района «Многофункциональный центр по предоставлению государственных и муниципальных услуг» Ростовской области""";"=""138893710727232844996936""";"=""Ростовская область""";"=""3""";"=""0""";"=""3""";
"=""Республика Тыва""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Электронный сервис «Предоставление сведений о сумме фактически уплаченных юридическим лицом налогов за текущий финансовый год в бюджеты всех уровней» """;"=""SID0003627""";"=""РОИВ""";"=""Администрация Главы Республики Бурятия и Правительства Республики Бурятия""";"=""534666898808841726592306""";"=""Республика Бурятия""";"=""10""";"=""0""";"=""10""";
"=""Республика Тыва""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""Электронный сервис «Предоставление сведений о сумме фактически уплаченных юридическим лицом налогов за текущий финансовый год в бюджеты всех уровней» """;"=""SID0003627""";"=""РОИВ""";"=""Департамент информационных технологий Кемеровской области""";"=""121975906357393255040413""";"=""Кемеровская область""";"=""213""";"=""0""";"=""213""";
"=""Рязанская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Сахалинская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Смоленская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Тамбовская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
"=""Тверская область""";"=""ФОИВ""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";"=""""";"=""SID0000135""";"=""РОИВ""";"=""Департамент имущественных и земельных отношений""";"=""2409099382639838105548222054481854729""";"=""Костромская область""";"=""1439""";"=""0""";"=""1439""";
