"=""Статистика недоступности электронных сервисов""";

"=""Выберите узел СМЭВ""";"=""Федеральный уровень""";
"=""Выберите поставщика сервиса""";"=""Федеральная служба государственной регистрации кадастра и картографии (Росреестр)""";
"=""Выберите информационные системы""";"=""(RRTR01) Информационная система Росреестра,(RRTR02) Информационные системы Росреестра""";
"=""Выберите сервисы""";"(SID0003564) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде,(SID0003187) Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде";
"=""Выберите период формирования отчета с""";"=""01.01.2013 00:00:00""";
"=""по""";"=""28.02.2013 00:00:00""";
"=""Время генерации отчета""";"=""01.03.2013 14:01:07""";

"=""Идентификатор сервиса""";"=""Сервис""";"=""Общее время недоступности""";"=""Процент недоступности""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""28.01.2013 05:45:40""";"=""28.01.2013 05:49:39""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""28.01.2013 08:44:49""";"=""28.01.2013 08:49:40""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""28.01.2013 11:00:41""";"=""28.01.2013 11:04:40""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""28.01.2013 17:50:41""";"=""28.01.2013 17:54:40""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""28.01.2013 19:10:43""";"=""28.01.2013 19:14:41""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""28.01.2013 20:20:42""";"=""28.01.2013 20:29:41""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""28.01.2013 21:50:43""";"=""28.01.2013 21:54:41""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""28.01.2013 22:37:03""";"=""28.01.2013 22:39:47""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""29.01.2013 00:05:42""";"=""29.01.2013 00:14:41""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""29.01.2013 01:04:42""";"=""29.01.2013 01:09:41""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""29.01.2013 02:00:42""";"=""29.01.2013 02:04:41""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""29.01.2013 08:55:43""";"=""29.01.2013 08:59:42""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""29.01.2013 13:55:43""";"=""29.01.2013 14:14:42""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""29.01.2013 15:00:44""";"=""29.01.2013 15:04:42""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""29.01.2013 15:25:44""";"=""29.01.2013 15:29:42""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""29.01.2013 15:50:44""";"=""29.01.2013 15:54:43""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""30.01.2013 00:00:44""";"=""30.01.2013 00:09:43""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""30.01.2013 03:24:45""";"=""30.01.2013 03:29:44""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""30.01.2013 07:55:47""";"=""30.01.2013 07:59:46""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""30.01.2013 15:15:48""";"=""30.01.2013 15:19:55""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""31.01.2013 08:15:50""";"=""31.01.2013 08:19:49""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""31.01.2013 13:50:50""";"=""31.01.2013 13:54:50""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""01.02.2013 22:19:55""";"=""01.02.2013 22:24:54""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""02.02.2013 09:35:11""";"=""02.02.2013 09:39:56""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""02.02.2013 10:50:12""";"=""02.02.2013 10:59:56""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""02.02.2013 12:05:12""";"=""02.02.2013 12:09:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""02.02.2013 12:35:12""";"=""02.02.2013 12:44:56""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""03.02.2013 01:24:58""";"=""03.02.2013 01:29:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""03.02.2013 01:59:58""";"=""03.02.2013 02:04:57""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""03.02.2013 08:30:59""";"=""03.02.2013 08:44:58""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""03.02.2013 15:11:00""";"=""03.02.2013 15:19:59""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""04.02.2013 00:21:02""";"=""04.02.2013 00:30:01""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""04.02.2013 08:25:18""";"=""04.02.2013 08:30:02""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""04.02.2013 10:51:03""";"=""04.02.2013 10:55:02""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 08:25:06""";"=""05.02.2013 08:30:05""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 11:31:06""";"=""05.02.2013 11:40:48""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 11:46:06""";"=""05.02.2013 11:56:01""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 12:51:06""";"=""05.02.2013 12:55:05""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 13:21:06""";"=""05.02.2013 13:35:05""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 13:41:06""";"=""05.02.2013 13:50:08""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 14:01:06""";"=""05.02.2013 14:05:05""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 14:41:07""";"=""05.02.2013 14:45:15""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 15:10:06""";"=""05.02.2013 15:15:05""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 16:51:07""";"=""05.02.2013 16:55:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 18:01:07""";"=""05.02.2013 18:05:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 18:21:22""";"=""05.02.2013 18:25:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 18:41:07""";"=""05.02.2013 18:45:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 18:56:07""";"=""05.02.2013 19:00:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 19:06:07""";"=""05.02.2013 19:10:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 19:16:07""";"=""05.02.2013 19:25:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 19:31:07""";"=""05.02.2013 20:05:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 21:00:07""";"=""05.02.2013 21:05:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""05.02.2013 23:31:07""";"=""05.02.2013 23:35:06""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""06.02.2013 02:26:10""";"=""06.02.2013 02:35:08""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""06.02.2013 06:06:10""";"=""06.02.2013 06:15:09""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""06.02.2013 06:21:10""";"=""06.02.2013 06:25:09""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""06.02.2013 08:11:10""";"=""06.02.2013 08:15:09""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""06.02.2013 08:25:44""";"=""06.02.2013 08:50:09""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""06.02.2013 15:05:11""";"=""06.02.2013 15:10:10""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""06.02.2013 18:41:11""";"=""06.02.2013 18:45:10""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""07.02.2013 00:05:13""";"=""07.02.2013 00:10:11""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""07.02.2013 09:00:12""";"=""07.02.2013 09:05:11""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""07.02.2013 10:50:13""";"=""07.02.2013 10:55:12""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""07.02.2013 18:20:14""";"=""07.02.2013 18:25:13""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""08.02.2013 07:31:17""";"=""08.02.2013 07:35:16""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""08.02.2013 08:21:17""";"=""08.02.2013 08:25:16""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""08.02.2013 13:41:17""";"=""08.02.2013 13:50:16""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""08.02.2013 15:31:17""";"=""08.02.2013 15:35:17""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""08.02.2013 18:11:18""";"=""08.02.2013 18:15:17""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""08.02.2013 18:50:18""";"=""08.02.2013 18:55:17""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""08.02.2013 20:00:18""";"=""08.02.2013 20:05:17""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""08.02.2013 20:26:18""";"=""08.02.2013 20:30:17""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""08.02.2013 20:41:18""";"=""08.02.2013 20:45:17""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""09.02.2013 04:55:19""";"=""09.02.2013 05:00:18""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""09.02.2013 07:21:19""";"=""09.02.2013 07:25:18""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""09.02.2013 19:41:20""";"=""09.02.2013 19:45:19""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""09.02.2013 20:56:21""";"=""09.02.2013 21:01:19""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""10.02.2013 16:00:25""";"=""10.02.2013 16:05:23""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""10.02.2013 17:16:25""";"=""10.02.2013 17:20:41""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""10.02.2013 18:51:25""";"=""10.02.2013 19:00:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""10.02.2013 21:56:25""";"=""10.02.2013 22:00:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""10.02.2013 22:55:25""";"=""10.02.2013 23:00:24""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""11.02.2013 05:36:26""";"=""11.02.2013 05:40:25""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""11.02.2013 09:45:26""";"=""11.02.2013 09:50:25""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.02.2013 00:26:28""";"=""12.02.2013 00:30:27""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.02.2013 00:45:28""";"=""12.02.2013 00:55:39""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.02.2013 05:50:28""";"=""12.02.2013 05:55:27""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.02.2013 07:26:29""";"=""12.02.2013 07:35:27""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.02.2013 09:31:29""";"=""12.02.2013 09:35:28""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.02.2013 17:31:29""";"=""12.02.2013 17:40:28""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.02.2013 18:26:29""";"=""12.02.2013 18:35:28""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""12.02.2013 21:18:15""";"=""12.02.2013 21:20:33""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.02.2013 02:11:32""";"=""13.02.2013 02:15:31""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.02.2013 02:56:32""";"=""13.02.2013 03:00:31""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""13.02.2013 04:01:32""";"=""13.02.2013 04:05:31""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""14.02.2013 17:15:36""";"=""14.02.2013 17:20:35""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.02.2013 00:06:37""";"=""15.02.2013 00:10:36""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.02.2013 06:20:40""";"=""15.02.2013 06:25:39""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.02.2013 10:10:40""";"=""15.02.2013 10:15:39""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""15.02.2013 19:20:41""";"=""15.02.2013 19:25:40""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""16.02.2013 00:26:41""";"=""16.02.2013 00:30:40""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""16.02.2013 00:41:41""";"=""16.02.2013 00:45:41""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""16.02.2013 16:56:43""";"=""16.02.2013 17:00:42""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""17.02.2013 08:46:45""";"=""17.02.2013 08:50:44""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""17.02.2013 08:56:45""";"=""17.02.2013 09:00:44""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""17.02.2013 10:01:45""";"=""17.02.2013 10:06:11""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""17.02.2013 15:05:47""";"=""17.02.2013 15:10:46""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""18.02.2013 05:26:49""";"=""18.02.2013 05:30:48""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""18.02.2013 09:51:03""";"=""18.02.2013 09:55:48""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""18.02.2013 10:56:49""";"=""18.02.2013 11:05:49""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""18.02.2013 12:26:49""";"=""18.02.2013 12:30:48""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""18.02.2013 13:56:50""";"=""18.02.2013 14:00:49""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""18.02.2013 16:46:50""";"=""18.02.2013 16:55:49""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""18.02.2013 18:51:50""";"=""18.02.2013 18:55:49""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""18.02.2013 20:31:50""";"=""18.02.2013 20:35:49""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.02.2013 02:21:51""";"=""19.02.2013 02:30:50""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.02.2013 05:50:51""";"=""19.02.2013 05:55:50""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.02.2013 09:56:52""";"=""19.02.2013 10:00:50""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.02.2013 15:16:52""";"=""19.02.2013 15:20:51""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""19.02.2013 16:46:52""";"=""19.02.2013 16:50:51""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.02.2013 06:10:56""";"=""20.02.2013 06:15:55""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.02.2013 12:26:56""";"=""20.02.2013 12:30:55""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.02.2013 13:41:56""";"=""20.02.2013 13:50:56""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.02.2013 15:40:56""";"=""20.02.2013 15:45:56""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.02.2013 18:11:57""";"=""20.02.2013 18:20:56""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.02.2013 22:26:57""";"=""20.02.2013 22:35:56""";"=""""";
"=""(00-SID0003187) - Сервис приема электронных заявлений, предоставления информации о ходе исполнения услуги и выдачи результатов оказания услуги в электронном виде""";"=""20.02.2013 22:41:57""";"=""20.02.2013 22:45:56""";"=""""";
